time,ro0,ro1,ro2,ro3,ro4,ro5,ro6,ro7,
7.25000000e-10,8.16025778e-01,9.81019143e-01,9.47183671e-01,1.11934894e+00,1.10490027e+00,8.71409282e-01,9.03627313e-01,9.96397301e-01,
7.35000000e-10,1.01731579e+00,1.10622996e+00,1.08580639e+00,1.16702847e+00,1.16095633e+00,1.03869663e+00,1.06097342e+00,1.10591613e+00,
7.45000000e-10,1.12489165e+00,1.15861415e+00,1.14980485e+00,1.18179319e+00,1.17903207e+00,1.12699376e+00,1.13849599e+00,1.15524990e+00,
7.55000000e-10,1.16612273e+00,1.17727061e+00,1.17406102e+00,1.18789863e+00,1.18630253e+00,1.16386580e+00,1.16903804e+00,1.17549976e+00,
7.65000000e-10,1.18039765e+00,1.18567557e+00,1.18378954e+00,1.19194056e+00,1.19105676e+00,1.17900841e+00,1.18155061e+00,1.18575223e+00,
7.75000000e-10,1.18721789e+00,1.19119704e+00,1.18917184e+00,1.19488193e+00,1.19449320e+00,1.18715832e+00,1.18862823e+00,1.19204062e+00,
7.85000000e-10,1.19194109e+00,1.19480310e+00,1.19286383e+00,1.19671521e+00,1.19659301e+00,1.19241315e+00,1.19328256e+00,1.19559781e+00,
7.95000000e-10,1.19505557e+00,1.19685820e+00,1.19532819e+00,1.19794392e+00,1.19795208e+00,1.19547252e+00,1.19596541e+00,1.19737543e+00,
8.05000000e-10,1.19691885e+00,1.19819292e+00,1.19714944e+00,1.19885457e+00,1.19890038e+00,1.19723456e+00,1.19757441e+00,1.19842212e+00,
8.15000000e-10,1.19824156e+00,1.19906423e+00,1.19845913e+00,1.19939927e+00,1.19943896e+00,1.19844274e+00,1.19867846e+00,1.19912833e+00,
8.25000000e-10,1.19909957e+00,1.19952698e+00,1.19921026e+00,1.19967986e+00,1.19970633e+00,1.19919917e+00,1.19933253e+00,1.19952886e+00,
8.35000000e-10,1.19954170e+00,1.19975368e+00,1.19959592e+00,1.19983584e+00,1.19985259e+00,1.19958596e+00,1.19965495e+00,1.19973877e+00,
8.45000000e-10,1.19976633e+00,1.19987893e+00,1.19980276e+00,1.19991732e+00,1.19992765e+00,1.19978649e+00,1.19982434e+00,1.19986323e+00,
8.55000000e-10,1.19988862e+00,1.19994149e+00,1.19990566e+00,1.19995846e+00,1.19996458e+00,1.19989411e+00,1.19991285e+00,1.19993077e+00,
8.65000000e-10,1.19994699e+00,1.19997111e+00,1.19995411e+00,1.19997680e+00,1.19998207e+00,1.19994675e+00,1.19995663e+00,1.19996436e+00,
8.75000000e-10,1.19997427e+00,1.19998467e+00,1.19997443e+00,1.19998381e+00,1.19998509e+00,1.19997282e+00,1.19997767e+00,1.19997681e+00,
8.85000000e-10,1.19998501e+00,1.19998526e+00,1.19998153e+00,1.20002159e+00,1.19999410e+00,1.19998036e+00,1.19998129e+00,1.19998704e+00,
8.95000000e-10,1.19998691e+00,1.19999415e+00,1.19999812e+00,1.20010582e+00,1.20006231e+00,1.19998799e+00,1.19999085e+00,1.20004383e+00,
9.05000000e-10,1.20000133e+00,1.20007115e+00,1.20008061e+00,1.19970397e+00,1.20008699e+00,1.20004665e+00,1.20005774e+00,1.20009472e+00,
9.15000000e-10,1.20007658e+00,1.20009723e+00,1.20008786e+00,1.19876686e+00,1.19940269e+00,1.20010722e+00,1.20011317e+00,1.19955585e+00,
9.25000000e-10,1.20006805e+00,1.19937000e+00,1.19925538e+00,1.20241770e+00,1.19853933e+00,1.19963712e+00,1.19956321e+00,1.19867906e+00,
9.35000000e-10,1.19930038e+00,1.19843467e+00,1.19827505e+00,1.21646609e+00,1.20439982e+00,1.19877300e+00,1.19865337e+00,1.20276367e+00,
9.45000000e-10,1.19851172e+00,1.20397162e+00,1.20409638e+00,1.19034910e+00,1.21962260e+00,1.20098655e+00,1.20212796e+00,1.21697869e+00,
9.55000000e-10,1.20489501e+00,1.21954560e+00,1.22059881e+00,1.05413940e+00,1.17545337e+00,1.21249769e+00,1.21597996e+00,1.18591012e+00,
9.65000000e-10,1.22058335e+00,1.18196651e+00,1.18338488e+00,8.17709556e-01,1.00737762e+00,1.20658991e+00,1.19882946e+00,1.03812052e+00,
9.75000000e-10,1.17718896e+00,1.02577442e+00,1.02457109e+00,5.50123263e-01,7.56353712e-01,1.10981834e+00,1.07728087e+00,7.94005243e-01,
9.85000000e-10,1.01004506e+00,7.83753613e-01,7.76648712e-01,3.19496314e-01,4.92366983e-01,8.93623480e-01,8.44285066e-01,5.24359015e-01,
9.95000000e-10,7.61132450e-01,5.22209163e-01,5.08543077e-01,1.61587948e-01,2.75847784e-01,6.26462236e-01,5.72047391e-01,2.95386471e-01,
1.00500000e-09,4.98739357e-01,3.00528140e-01,2.82176899e-01,7.26378758e-02,1.35126859e-01,3.78953467e-01,3.30609964e-01,1.44593908e-01,
1.01500000e-09,2.81269171e-01,1.51755774e-01,1.32880176e-01,2.98049053e-02,6.07046245e-02,1.97022835e-01,1.63546126e-01,6.61391409e-02,
1.02500000e-09,1.39196009e-01,7.06243420e-02,5.59486479e-02,1.05225539e-02,2.60305826e-02,9.23832582e-02,7.43306198e-02,3.15823980e-02,
1.03500000e-09,6.43831144e-02,3.25438468e-02,2.31179331e-02,3.65487336e-03,9.72023225e-03,4.40870959e-02,3.64549835e-02,1.41248470e-02,
1.04500000e-09,3.03123374e-02,1.33826524e-02,8.63914828e-03,1.64437080e-03,3.56240305e-03,2.17582891e-02,1.89450773e-02,5.64182504e-03,
1.05500000e-09,1.29603567e-02,4.96788355e-03,3.20742019e-03,8.35275175e-04,1.64234239e-03,9.52585707e-03,8.74192916e-03,2.47803652e-03,
1.06500000e-09,5.06880151e-03,2.14628479e-03,1.52707015e-03,4.36562771e-04,8.29492642e-04,3.98420095e-03,3.84510466e-03,1.25254512e-03,
1.07500000e-09,2.28293943e-03,1.09932791e-03,7.91351856e-04,2.93140542e-04,4.19007087e-04,1.95510307e-03,1.93833708e-03,6.04273866e-04,
1.08500000e-09,1.16576457e-03,5.48538239e-04,3.92919708e-04,2.19158142e-04,2.76539817e-04,1.01892478e-03,1.01846280e-03,3.28710563e-04,
